index,in_data,u,g,r,Ha,i,r.Ha.i,Rne,coherent,shape,best_filter,comment
68,TRUE,no,no,no,no,no,no,1,,,,can’t see the star
69,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"irregular, diffuse",all,
70,TRUE,no,no,no,no,no,no,2,,,,maybe nebulosity in Ha?
71,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,diffuse,all,
72,TRUE,no,no,no,no,no,no,2,,,,region of nebulosity but can’t see the star
73,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,4,y,"diffuse, irreguar",all,hard to assign a star
74,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"diffuse, irregular",,hard to assign a star
75,TRUE,no,no,no,no,no,no,1,,,,
76,TRUE,no,faint,faint,visible ,visible,visible,3,y,diffuse,"Ha, I",is it nebulosity or light from the star?
77,TRUE,no,no,no,no,no,no,1,,,,
78,TRUE,no,no,no,no,no,no,1,,,,star only visible in Ha
79,TRUE,no,visible,visible,visible,visible,visible,3,y,"filament, diffuse","g,r,i,Ha",large scale
80,TRUE,no,no,no,no,no,no,1,,,,star not visible
81,TRUE,no,faint,faint,faint,faint,faint,3,y,diffuse,,nebulosity or starlight?
82,TRUE,no,no,no,no,no,no,1,,,,
83,TRUE,no,no,no,no,no,no,1,,,,
84,TRUE,prominent,prominent,prominent,prominent,prominent,prominent,5,y,"diffuse, irregular",all,probably group of star
85,TRUE,no,no,no,no,no,no,1,,,,
86,TRUE,no,no,faint,faint,visible,visible,4,y,tail,"I, Ha","is it really a Rne or is an artifact? There is a point source SE which is not in SIMBAD, NED and GAIA"
87,TRUE,no,faint,visible,visible,visible,visible,3,y,arc,"r,i,Ha","star not visible, is it a Rne?"
88,TRUE,visible,prominent,prominent,prominent,prominent,prominent,3,y,"diffuse, irregular","g,i,r,Ha","star not visible, is it a Rne?"
89,TRUE,visible,visible,visible,visible,visible,visible,3,y,diffuse,all,"star not visible, is it a Rne?"
90,TRUE,no,visible,visible,visible,visible,visible,4,y,diffuse,"g,r,i,Ha","region of nebulosity, star visible"
91,TRUE,no,faint,faint,faint,faint,faint,3,y,diffuse,"g,r,i,Ha",region of nebulosity but can’t see the star
92,TRUE,faint,faint,visible,visible,visible,visible,5,y,"tail, arc","I,r,Ha",which star is responsible?
93,TRUE,no,no,no,no,no,no,1,,,,
94,FALSE,,,,,,,,,,,
95,FALSE,,,,,,,,,,,
96,FALSE,,,,,,,,,,,
97,FALSE,,,,,,,,,,,
98,FALSE,,,,,,,,,,,
99,FALSE,,,,,,,,,,,
100,FALSE,,,,,,,,,,,
101,FALSE,,,,,,,,,,,
102,FALSE,,,,,,,,,,,
103,FALSE,,,,,,,,,,,
104,FALSE,,,,,,,,,,,
105,FALSE,,,,,,,,,,,
106,FALSE,,,,,,,,,,,
